model_form,wave_solver,time_days,acquisition,E_full,E_fluid,E_dissolution,E_cementation,E_reaction,cancellation_energy_ratio
DEM-tangent,exact-multiples,365,Surface seismic,7.974817318428394e-05,7.420679776395196e-05,7.560677185075834e-06,3.7475488733524185e-06,6.32729453560364e-07,0.932563304313937
DEM-tangent,exact-multiples,365,Geophone VSP,0.00021469308708879677,0.0001987000753726848,2.0184495874244232e-05,9.727903935142634e-06,2.141422418358095e-06,0.9391136110039963
DEM-tangent,exact-multiples,365,Permanent DAS-VSP,0.00021416083264960188,0.00019524789785682492,1.9835056359914795e-05,8.62365581950066e-06,3.486462431874462e-06,0.9573290329459104
DEM-tangent,exact-multiples,1095,Surface seismic,3.2693071435814406e-06,9.76305784852356e-06,7.786608155854045e-06,1.2914405182131282e-05,8.932814525178877e-07,0.1073168167040413
DEM-tangent,exact-multiples,1095,Geophone VSP,9.502870469080661e-06,2.7664392616041947e-05,2.0783995975163505e-05,3.523659942696649e-05,2.44205692459917e-06,0.11355525876417813
DEM-tangent,exact-multiples,1095,Permanent DAS-VSP,1.1438508965254778e-05,3.1580320952261485e-05,2.0381473921518928e-05,3.6507707077613665e-05,2.6174045098669436e-06,0.12929324471091963
DEM-tangent,exact-multiples,1825,Surface seismic,5.060051807153597e-07,2.486666545295385e-07,7.801253086590007e-06,1.4358208557371961e-05,1.3112636418924646e-06,0.022581322901003894
DEM-tangent,exact-multiples,1825,Geophone VSP,1.3666614874059066e-06,7.177781719465774e-07,2.082311665821443e-05,3.933922288102883e-05,3.6338826149487462e-06,0.0224484041553473
DEM-tangent,exact-multiples,1825,Permanent DAS-VSP,1.455756943375505e-06,8.607994740096005e-07,2.041740186077348e-05,4.123790732008511e-05,4.027215391603203e-06,0.023286109367623663
DEM-tangent,exact-multiples,3650,Surface seismic,1.3351718442255722e-06,2.463270510754388e-12,7.802865801001682e-06,1.4446680446186554e-05,1.3383392481567172e-06,0.06000894047787827
DEM-tangent,exact-multiples,3650,Geophone VSP,3.7023330229745417e-06,7.1109585317070455e-12,2.0827425061721178e-05,3.9590736665851426e-05,3.7112995902590734e-06,0.061278471263654266
DEM-tangent,exact-multiples,3650,Permanent DAS-VSP,4.10894841945411e-06,8.521705532160301e-12,2.0421358970523062e-05,4.1527712293722456e-05,4.119229199038666e-06,0.0663278362431131
DEM-tangent,exact-multiples,7300,Surface seismic,1.3383411236141355e-06,1.7971525140682583e-22,7.80287100995271e-06,1.4446693488739426e-05,1.3383411508865012e-06,0.06015134020680742
DEM-tangent,exact-multiples,7300,Geophone VSP,3.711305217155728e-06,5.158646748676416e-22,2.082743897702297e-05,3.9590773454430926e-05,3.7113052940895715e-06,0.06142692853361566
DEM-tangent,exact-multiples,7300,Permanent DAS-VSP,4.119237004362626e-06,6.075356588176606e-22,2.042137174825217e-05,4.1527753303117466e-05,4.119237091428691e-06,0.06649386897630694
DEM-tangent,primaries-only,365,Surface seismic,7.460700386429725e-05,6.920225676553157e-05,6.7616289720661595e-06,3.482881071981115e-06,5.97744944141859e-07,0.9390816877811815
DEM-tangent,primaries-only,365,Geophone VSP,0.00020439107452190845,0.00018834017070725503,1.8273498443509936e-05,9.101223594826471e-06,2.0538078724955976e-06,0.947505626155177
DEM-tangent,primaries-only,365,Permanent DAS-VSP,0.00020889968788588182,0.0001892407448111639,1.842981481779256e-05,8.15864659312064e-06,3.4214901024481267e-06,0.9678935096065489
DEM-tangent,primaries-only,1095,Surface seismic,3.146957473400089e-06,9.136069591243857e-06,6.974113497775269e-06,1.2063026878171438e-05,8.12280950036858e-07,0.11170035210985596
DEM-tangent,primaries-only,1095,Geophone VSP,9.261354469948831e-06,2.6273205887941482e-05,1.8843398731617808e-05,3.318957578773648e-05,2.246327757973812e-06,0.11827105372497461
DEM-tangent,primaries-only,1095,Permanent DAS-VSP,1.1364809684636805e-05,3.074829890946628e-05,1.8954804029003236e-05,3.497701740858055e-05,2.4733561336838765e-06,0.1342087096482582
DEM-tangent,primaries-only,1825,Surface seismic,4.526645546919969e-07,2.3298837373208017e-07,6.988130328336374e-06,1.3424095651447367e-05,1.1977864820856309e-06,0.021925883012927375
DEM-tangent,primaries-only,1825,Geophone VSP,1.2370201548398753e-06,6.815382572107817e-07,1.8881236935508446e-05,3.709036544340132e-05,3.3598112839722244e-06,0.02183497933124618
DEM-tangent,primaries-only,1825,Permanent DAS-VSP,1.361009934547452e-06,8.368207302814688e-07,1.8989840995039983e-05,3.9553666358077684e-05,3.825740320613463e-06,0.02292021581012361
DEM-tangent,primaries-only,3650,Surface seismic,1.2198725978437104e-06,2.3129468380827996e-12,6.989674360657386e-06,1.3507614015536947e-05,1.2228189229862926e-06,0.059513845822070574
DEM-tangent,primaries-only,3650,Geophone VSP,3.4238644960295156e-06,6.762959700148178e-12,1.8885405379526008e-05,3.732979589097985e-05,3.432301690904742e-06,0.060906374196663116
DEM-tangent,primaries-only,3650,Permanent DAS-VSP,3.904247667612688e-06,8.290135959110678e-12,1.899370099961882e-05,3.983426786050953e-05,3.914140264469293e-06,0.06636719222284437
DEM-tangent,primaries-only,7300,Surface seismic,1.2228206087799034e-06,1.6930620851847635e-22,6.989679348236228e-06,1.3507626386969982e-05,1.2228206341970432e-06,0.05965762644987943
DEM-tangent,primaries-only,7300,Geophone VSP,3.4323068508307333e-06,4.92004423960645e-22,1.8885418843966105e-05,3.732983105237735e-05,3.4323069233328665e-06,0.06105650792551203
DEM-tangent,primaries-only,7300,Permanent DAS-VSP,3.914147729370732e-06,5.92014233881945e-22,1.8993713464557103e-05,3.9834307633872944e-05,3.914147813185088e-06,0.06653543084207518
critical-porosity,exact-multiples,365,Surface seismic,0.00013006517562182636,7.420679776395196e-05,3.469884377747934e-05,8.471442727216528e-06,7.211623291192916e-06,1.1080968353596052
critical-porosity,exact-multiples,365,Geophone VSP,0.00035032497378724816,0.0001987000753726848,9.397799495061117e-05,2.220613261508771e-05,2.22309978935953e-05,1.1125517587676492
critical-porosity,exact-multiples,365,Permanent DAS-VSP,0.0003528012352766821,0.00019524789785682492,9.715091195469926e-05,2.024105812818534e-05,3.0878972011729337e-05,1.1284588801858035
critical-porosity,exact-multiples,1095,Surface seismic,7.209360650675607e-06,9.76305784852356e-06,3.58160576138146e-05,3.002206567773159e-05,4.456243924767467e-08,0.09536042350077172
critical-porosity,exact-multiples,1095,Geophone VSP,2.1031752397805344e-05,2.7664392616041947e-05,9.68931800369797e-05,8.294020029423316e-05,9.335330361209975e-08,0.1013589307445316
critical-porosity,exact-multiples,1095,Permanent DAS-VSP,2.558561269212259e-05,3.1580320952261485e-05,9.969672008121455e-05,8.868614886196371e-05,7.187849799918508e-08,0.1163177016312811
critical-porosity,exact-multiples,1825,Surface seismic,9.11075688840248e-09,2.486666545295385e-07,3.58900760632492e-05,3.3419233616338886e-05,2.8479936245180983e-07,0.00013098076408433015
critical-porosity,exact-multiples,1825,Geophone VSP,1.732886921431844e-08,7.177781719465774e-07,9.708625476938307e-05,9.26938476372274e-05,7.079127320217454e-07,9.096620477713086e-05
critical-porosity,exact-multiples,1825,Permanent DAS-VSP,6.361745880896113e-08,8.607994740096005e-07,9.98626828192554e-05,0.00010018356474611694,6.162754510653514e-07,0.0003166512063486294
critical-porosity,exact-multiples,3650,Surface seismic,3.0430708811033544e-07,2.463270510754388e-12,3.5898231917840496e-05,3.362867863325484e-05,3.058737117547728e-07,0.004376824382343261
critical-porosity,exact-multiples,3650,Geophone VSP,7.603125281482123e-07,7.1109585317070455e-12,9.710752849155956e-05,9.329523005924221e-05,7.645035900447945e-07,0.003993180064930697
critical-porosity,exact-multiples,3650,Permanent DAS-VSP,6.698158587828899e-07,8.521705532160301e-12,9.988096356922396e-05,0.00010089105757819587,6.739563312455057e-07,0.0033362010629008143
critical-porosity,exact-multiples,7300,Surface seismic,3.0587455167474614e-07,1.7971525140682583e-22,3.589825826065432e-05,3.362871109428512e-05,3.0587456519531517e-07,0.004399365519777481
critical-porosity,exact-multiples,7300,Geophone VSP,7.645060443495419e-07,5.158646748676416e-22,9.710759719850476e-05,9.329532240467058e-05,7.64506080443511e-07,0.004015201268672102
critical-porosity,exact-multiples,7300,Permanent DAS-VSP,6.739600986071347e-07,6.075356588176606e-22,9.98810225857044e-05,0.00010089116217406829,6.739601337657088e-07,0.003356839989630732
critical-porosity,primaries-only,365,Surface seismic,0.00012071430066258863,6.920225676553157e-05,3.0874918703116785e-05,7.935472810034198e-06,6.6819503955911454e-06,1.1175941205620166
critical-porosity,primaries-only,365,Geophone VSP,0.0003320194657359459,0.00018834017070725503,8.507214926650206e-05,2.0944283071847603e-05,2.097001173288794e-05,1.127949780302724
critical-porosity,primaries-only,365,Permanent DAS-VSP,0.0003443121413310144,0.0001892407448111639,9.101942616912148e-05,1.931980402711746e-05,3.0037202165889366e-05,1.1493162763048703
critical-porosity,primaries-only,1095,Surface seismic,6.876010959153778e-06,9.136069591243857e-06,3.192754705111806e-05,2.832242125265804e-05,3.7860845201059394e-08,0.09909790453170249
critical-porosity,primaries-only,1095,Geophone VSP,2.033874494332255e-05,2.6273205887941482e-05,8.78619599873885e-05,7.883371035458561e-05,7.75099978478042e-08,0.10539909513226192
critical-porosity,primaries-only,1095,Permanent DAS-VSP,2.5289992408905326e-05,3.074829890946628e-05,9.349520182032651e-05,8.558523265612259e-05,6.436924149281013e-08,0.12052683157740922
critical-porosity,primaries-only,1825,Surface seismic,8.203707120464742e-09,2.3298837373208017e-07,3.199863867387198e-05,3.156373523252187e-05,2.492699981934482e-07,0.00012859409880677846
critical-porosity,primaries-only,1825,Geophone VSP,1.64260260201431e-08,6.815382572107817e-07,8.805027660512718e-05,8.82026842676877e-05,6.2167472385888e-07,9.283676219679432e-05
critical-porosity,primaries-only,1825,Permanent DAS-VSP,7.086693221809989e-08,8.368207302814688e-07,9.365927524102651e-05,9.6781729928489e-05,5.548510442685155e-07,0.00037049214609551415
critical-porosity,primaries-only,3650,Surface seismic,2.6679172908843775e-07,2.3129468380827996e-12,3.200647492119234e-05,3.1763860890660755e-05,2.682099337149443e-07,0.004183633597274026
critical-porosity,primaries-only,3650,Geophone VSP,6.692450781398545e-07,6.762959700148178e-12,8.807103369224228e-05,8.878105657372847e-05,6.730755717519498e-07,0.0037842077610783192
critical-porosity,primaries-only,3650,Permanent DAS-VSP,6.047428793678981e-07,8.290135959110678e-12,9.367735390677344e-05,9.747118089656313e-05,6.086049445505515e-07,0.0031637326111984857
critical-porosity,primaries-only,7300,Surface seismic,2.6821061440510663e-07,1.6930620851847635e-22,3.200650023468155e-05,3.176389202642034e-05,2.682106266754451e-07,0.004205879952987327
critical-porosity,primaries-only,7300,Geophone VSP,6.730776366862165e-07,4.92004423960645e-22,8.807110073831303e-05,8.878114565998658e-05,6.730776697440046e-07,0.003805875528266334
critical-porosity,primaries-only,7300,Permanent DAS-VSP,6.086084643753969e-07,5.92014233881945e-22,9.367741227626897e-05,9.747128293763589e-05,6.086084971699711e-07,0.0031839530146639708
