model_form,time_days,process,facies,rhoDC_ohm_m,Mn_S_per_m,tau_s,cole_c,max_abs_phase_mrad,phase_peak_Hz
DEM-tangent,365,baseline,upper,38.45,0.0015,0.45,0.45,10.340996148755796,0.3162277660168379
DEM-tangent,365,baseline,core,221.54,0.0005,1.5,0.4,17.058717722637688,0.1
DEM-tangent,365,baseline,fracture,82.48,0.0012,0.2,0.45,17.402879398998454,0.6812920690579611
DEM-tangent,365,fluid,upper,80.21570866315112,0.0009862220018051,0.45,0.45,14.041697883978507,0.3162277660168379
DEM-tangent,365,fluid,core,289.106007110832,0.0004582166794387,1.5,0.4,20.19528156434758,0.0825404185268018
DEM-tangent,365,fluid,fracture,82.48,0.0005672484222807,0.2,0.45,8.43032914835895,0.8254041852680182
DEM-tangent,365,dissolution,upper,20.797590389922718,0.0052392835601137,0.9992064449713044,0.45,19.072021601127275,0.1467799267622069
DEM-tangent,365,dissolution,core,198.1641376837483,0.0010578553723716,2.1436126210983533,0.4,30.890392014496857,0.0562341325190349
DEM-tangent,365,dissolution,fracture,42.18976871121875,0.004177406417027,0.4424344912379816,0.45,29.91942750782796,0.3162277660168379
DEM-tangent,365,cementation,upper,47.91366239619443,0.0053133200387918,1.3218933577353995,0.45,41.77432278676481,0.1
DEM-tangent,365,cementation,core,223.0828847526214,0.0016010631994577,4.084264762078442,0.4,49.50839693542477,0.0261015721568253
DEM-tangent,365,cementation,fracture,218.5547484667769,0.0010439736469925,0.1459070957366627,0.45,37.86706926897867,0.8254041852680182
DEM-tangent,365,full,upper,54.06785311739906,0.0122019726881622,2.935209694697709,0.45,92.89150180537897,0.0316227766016837
DEM-tangent,365,full,core,260.4018866951704,0.0031043140925817,5.836720994599075,0.4,95.45457810629291,0.0121152765862858
DEM-tangent,365,full,fracture,111.7940626643054,0.0017179363536453,0.3227716583513093,0.45,32.37594489289596,0.3831186849557287
DEM-tangent,1825,baseline,upper,38.45,0.0015,0.45,0.45,10.340996148755796,0.3162277660168379
DEM-tangent,1825,baseline,core,221.54,0.0005,1.5,0.4,17.058717722637688,0.1
DEM-tangent,1825,baseline,fracture,82.48,0.0012,0.2,0.45,17.402879398998454,0.6812920690579611
DEM-tangent,1825,fluid,upper,38.834500000000006,0.0014960750040244,0.45,0.45,10.414983298637903,0.3162277660168379
DEM-tangent,1825,fluid,core,222.226774,0.0004995928737392,1.5,0.4,17.09563643710792,0.1
DEM-tangent,1825,fluid,fracture,82.48,0.001199999304628,0.2,0.45,17.402869773898434,0.6812920690579611
DEM-tangent,1825,dissolution,upper,20.747620000000005,0.0052498687131698,1.0014653685298769,0.45,19.064842687025564,0.1467799267622069
DEM-tangent,1825,dissolution,core,193.18288,0.0011767310451683,2.313063825262681,0.4,33.24125863672553,0.0562341325190349
DEM-tangent,1825,dissolution,fracture,41.990568,0.0041921271435378,0.4441746931800783,0.45,29.885249407515264,0.3162277660168379
DEM-tangent,1825,cementation,upper,61.708405000000006,0.0012813370646496,0.3257686401930218,0.45,14.034359095353402,0.4641588833612777
DEM-tangent,1825,cementation,core,231.420684,0.0004497064411673,1.1102033627013332,0.4,16.07923232252265,0.1211527658628588
DEM-tangent,1825,cementation,fracture,219.504024,0.0010057856317428,0.1436521443478239,0.45,36.7512049429466,0.8254041852680182
DEM-tangent,1825,full,upper,33.63083389138001,0.0044728329713558,0.7249911362364032,0.45,25.83213765558657,0.1778279410038923
DEM-tangent,1825,full,core,202.4244128409888,0.0010575052830195,1.7119808246329582,0.4,31.479242176919023,0.0681292069057961
DEM-tangent,1825,full,fracture,111.7494986184,0.0035136490034293,0.319033235701775,0.45,60.90948973842083,0.3162277660168379
